,Gender,Organizes activities with his friends,What are your strengths among these,What activity do you do most frequently?,have difficulty understanding what you have read?,FavoriteSubject,FavoriteGame,IntelligenceType
889,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Biology and Earth,Building games or maze games or drawing guess games,Logico Math̩matique
830,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Puzzle games or strategy games,Logico Math̩matique
1224,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Arts,Sports games,Spatial
4545,Female,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,watches movies and views pictures a lot,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
4442,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Dancer or Athlete or Build,Biology and Earth,Building games or maze games or drawing guess games,Musical
3169,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Dancer or Athlete or Build,Music,Sports games,Kinesthetic
872,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Music,Building games or maze games or drawing guess games,Spatial
2192,Male,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,listens to many styles of music often and repeats the song aloud,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
996,Male,Draws or scribbles drawings and looks at pictures,Read maps charts and graphs without difficulty and is well noticeable,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Arts,Individual games,Spatial
3417,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Music,Building games or maze games or drawing guess games,Musical
552,Female,Draws or scribbles drawings and looks at pictures, has the ability to easily recognize birds plants and trees,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Spatial
4142,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Music,Sports games,Kinesthetic
2179,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Kinesthetic
4261,Male,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
242,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,Easily remember the rhythm or music of commercials,reacts strongly to controversial opinions,Mathematics teacher or engineer,Biology and Earth,Individual games,Intra Personnelle
4129,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Music,Sports games,Kinesthetic
3049,Male,Organizes activities with his friends,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Board games or card games,Logico Math̩matique
1737,Male,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
567,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Music,Building games or maze games or drawing guess games,Spatial
3779,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Physical education,Building games or maze games or drawing guess games,Spatial
4488,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,Read a lot,Psychiatrist or Salesman or Counselor,Arts,Board games or card games,Spatial
