,He likes to be part of a team and enjoy collective activities,It's fun to be with others more than to be alone,Likes to help others,Loves to share his knowledge,It is important for him to follow his own way,He likes to try new things,He do not like to follow the rules,He likes to change things by himself,It is important for him that is always his duties in full,He likes to defeat obstacles,He loves competitions where they can win a prize,If sufficient reward will strive,Playertype
3490,Likes,Likes,neutral,neutral,neutral,Likes,neutral,neutral,Does not like,Does not like,Likes,neutral,type_socializer
7,Does not like,Likes,neutral,Likes,Likes,neutral,neutral,Likes,Does not like,neutral,Does not like,Does not like,type_disruptor
902,neutral,Likes,neutral,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Likes,neutral,Likes,type_socializer
3468,neutral,Likes,neutral,Likes,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Likes,type_player
3791,Does not like,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,Likes,neutral,Likes,neutral,type_achiever
4232,Likes,neutral,Does not like,neutral,Does not like,Does not like,Likes,neutral,neutral,Likes,Does not like,Likes,type_socializer
579,Likes,Does not like,Likes,neutral,neutral,Likes,Does not like,Likes,Likes,Does not like,Likes,Does not like,type_philanthropist
1244,neutral,Does not like,Likes,neutral,Likes,Likes,neutral,neutral,neutral,neutral,Does not like,Likes,type_freeSpirit
4251,Does not like,Likes,Does not like,Likes,neutral,Does not like,Does not like,Likes,Does not like,Likes,Does not like,neutral,type_socializer
3133,Likes,neutral,Likes,neutral,neutral,Does not like,neutral,neutral,neutral,Likes,Does not like,Does not like,type_socializer
363,Likes,Does not like,neutral,Likes,Does not like,neutral,Does not like,neutral,Likes,neutral,Likes,Does not like,type_achiever
4108,Likes,Likes,Does not like,Does not like,Does not like,neutral,Does not like,neutral,Does not like,Likes,Does not like,neutral,type_socializer
388,Likes,Does not like,neutral,neutral,Does not like,Likes,neutral,Likes,Likes,Does not like,Does not like,Does not like,type_disruptor
4419,Does not like,Does not like,neutral,Likes,Likes,Likes,Likes,Likes,Does not like,Does not like,Likes,Does not like,type_disruptor
89,neutral,Likes,Does not like,Likes,Likes,neutral,Likes,neutral,neutral,neutral,Does not like,neutral,type_socializer
1760,Likes,Likes,Does not like,neutral,neutral,neutral,Likes,Does not like,Does not like,Likes,Does not like,Does not like,type_socializer
1632,Does not like,neutral,Does not like,Does not like,Likes,neutral,Likes,Does not like,neutral,Does not like,Does not like,neutral,type_freeSpirit
4632,Does not like,Does not like,neutral,Likes,Does not like,Does not like,Does not like,Does not like,neutral,neutral,Does not like,Likes,type_philanthropist
3452,neutral,Does not like,Does not like,Does not like,Likes,neutral,neutral,Likes,Does not like,neutral,neutral,Does not like,type_disruptor
1072,Likes,neutral,neutral,Does not like,neutral,neutral,neutral,Likes,Does not like,Likes,neutral,neutral,type_socializer
1745,Likes,Likes,neutral,neutral,Does not like,Likes,Likes,neutral,neutral,neutral,Does not like,neutral,type_socializer
4146,neutral,neutral,Does not like,neutral,Likes,neutral,Does not like,Likes,Does not like,neutral,Likes,Likes,type_player
2613,neutral,neutral,neutral,Likes,neutral,Does not like,Likes,Likes,Does not like,Does not like,Likes,Likes,type_disruptor
129,Likes,Does not like,Likes,Likes,neutral,Does not like,Does not like,Likes,Likes,Does not like,Likes,Does not like,type_philanthropist
4580,Does not like,Likes,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Likes,Likes,neutral,neutral,type_achiever
4732,neutral,Likes,Does not like,Does not like,Does not like,Likes,neutral,Does not like,Likes,Likes,Does not like,neutral,type_achiever
627,Likes,neutral,neutral,Does not like,neutral,Likes,neutral,Does not like,Likes,Does not like,Likes,neutral,type_socializer
3548,Likes,Does not like,Likes,Likes,Does not like,Does not like,neutral,Does not like,Does not like,Does not like,Does not like,neutral,type_philanthropist
2754,Likes,neutral,Does not like,Does not like,Does not like,neutral,neutral,neutral,Likes,neutral,Likes,Likes,type_player
4817,neutral,Likes,Does not like,Likes,Likes,Likes,neutral,Likes,Likes,neutral,neutral,neutral,type_freeSpirit
72,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Does not like,Likes,neutral,Does not like,Does not like,type_achiever
3427,Likes,neutral,Does not like,neutral,Likes,neutral,neutral,Does not like,Does not like,Likes,Likes,Does not like,type_socializer
4092,Does not like,neutral,Does not like,Does not like,neutral,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Likes,type_player
1007,neutral,neutral,neutral,neutral,Does not like,Does not like,Likes,neutral,neutral,Does not like,neutral,Does not like,type_disruptor
2888,Does not like,neutral,Likes,neutral,Likes,Does not like,Likes,Likes,Does not like,neutral,neutral,Does not like,type_disruptor
1847,Likes,Does not like,Does not like,Does not like,neutral,Does not like,neutral,neutral,neutral,Does not like,Does not like,neutral,type_socializer
1975,Likes,neutral,Does not like,neutral,Likes,neutral,Likes,neutral,Likes,Does not like,neutral,Likes,type_socializer
4519,Does not like,Likes,Does not like,Likes,neutral,Likes,Does not like,Does not like,Likes,neutral,Likes,Does not like,type_achiever
2037,neutral,neutral,Likes,Does not like,neutral,Likes,Does not like,Does not like,neutral,Does not like,Likes,Likes,type_player
4282,neutral,Likes,Does not like,neutral,Likes,Likes,neutral,neutral,Likes,Likes,neutral,Likes,type_achiever
3148,Does not like,Does not like,neutral,neutral,Likes,Likes,neutral,Likes,neutral,Likes,Does not like,Does not like,type_freeSpirit
4692,Does not like,Likes,Likes,neutral,neutral,Likes,neutral,neutral,Likes,neutral,Likes,Likes,type_player
1105,neutral,Likes,Likes,Does not like,Does not like,Likes,Does not like,Likes,Likes,Likes,Likes,Does not like,type_achiever
2337,Likes,Likes,Likes,Likes,Does not like,Likes,Does not like,Does not like,Does not like,neutral,Does not like,neutral,type_socializer
508,Likes,neutral,Likes,neutral,Likes,neutral,neutral,neutral,Likes,neutral,neutral,neutral,type_socializer
1492,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Likes,Likes,neutral,Does not like,neutral,type_disruptor
562,Does not like,Does not like,Likes,Likes,neutral,neutral,neutral,neutral,Does not like,Likes,neutral,Does not like,type_philanthropist
1511,Likes,Does not like,Likes,neutral,Likes,Likes,Does not like,Likes,Does not like,neutral,Does not like,Does not like,type_freeSpirit
4120,neutral,neutral,neutral,Does not like,Likes,neutral,neutral,Does not like,Likes,Does not like,Does not like,neutral,type_freeSpirit
3093,neutral,neutral,neutral,Likes,neutral,Does not like,Likes,Likes,Does not like,Does not like,Likes,Likes,type_disruptor
3867,Likes,Likes,neutral,neutral,neutral,Does not like,neutral,Does not like,Does not like,Does not like,neutral,neutral,type_socializer
1041,Likes,Likes,Does not like,neutral,Likes,Likes,Does not like,neutral,Does not like,Does not like,Likes,Likes,type_socializer
4150,Likes,Does not like,neutral,neutral,Likes,neutral,Likes,Does not like,Does not like,Does not like,Likes,Does not like,type_freeSpirit
1016,neutral,neutral,Likes,Does not like,neutral,Likes,neutral,Likes,neutral,neutral,Likes,Does not like,type_disruptor
4949,Likes,Likes,Does not like,neutral,Does not like,neutral,Likes,Does not like,Does not like,neutral,neutral,neutral,type_socializer
1247,Does not like,Does not like,Does not like,neutral,Likes,Likes,Does not like,neutral,Does not like,Likes,Does not like,neutral,type_freeSpirit
1335,Likes,Likes,Likes,Does not like,Likes,Does not like,Likes,Likes,neutral,neutral,Likes,neutral,type_socializer
6,neutral,neutral,Likes,Does not like,Does not like,Likes,Does not like,Likes,neutral,Likes,Does not like,Likes,type_achiever
3879,neutral,neutral,neutral,Likes,Likes,Does not like,neutral,neutral,Likes,neutral,neutral,Likes,type_achiever
1534,neutral,Likes,neutral,Does not like,neutral,neutral,Likes,Does not like,Likes,neutral,neutral,neutral,type_socializer
3573,Does not like,Likes,Does not like,Does not like,neutral,Does not like,neutral,neutral,neutral,Does not like,neutral,Does not like,type_socializer
2332,neutral,Likes,Likes,Likes,neutral,Likes,Does not like,Does not like,Likes,neutral,neutral,Likes,type_philanthropist
1648,Likes,Likes,Likes,neutral,neutral,Likes,Likes,Does not like,Does not like,Likes,Likes,Likes,type_socializer
980,neutral,Likes,Likes,neutral,Likes,Does not like,Does not like,Does not like,neutral,Does not like,Does not like,Likes,type_socializer
4286,Likes,Likes,neutral,Likes,neutral,Does not like,Likes,neutral,Likes,Does not like,Likes,Does not like,type_socializer
4727,Does not like,Does not like,Does not like,Likes,Does not like,neutral,neutral,neutral,Likes,Does not like,Likes,neutral,type_player
3436,neutral,Does not like,Likes,Does not like,Does not like,neutral,neutral,Does not like,neutral,Likes,Does not like,neutral,type_achiever
2972,neutral,Likes,Likes,Likes,Likes,Does not like,Likes,neutral,Does not like,Likes,Likes,Does not like,type_philanthropist
2502,neutral,neutral,neutral,Does not like,Likes,Likes,Does not like,Likes,Does not like,Does not like,Likes,Does not like,type_freeSpirit
709,Does not like,Likes,Likes,Likes,Does not like,Does not like,neutral,Likes,neutral,Likes,Does not like,Likes,type_philanthropist
3842,Likes,Likes,Does not like,Likes,neutral,neutral,Does not like,Does not like,Does not like,neutral,Does not like,neutral,type_socializer
847,Likes,neutral,neutral,Does not like,neutral,Likes,neutral,Likes,Likes,Likes,Likes,Likes,type_achiever
1156,Likes,Likes,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,neutral,neutral,Does not like,type_socializer
4969,Does not like,neutral,neutral,neutral,Likes,Does not like,neutral,neutral,Does not like,neutral,Does not like,Does not like,type_disruptor
1885,Likes,Likes,Does not like,Does not like,Likes,neutral,Does not like,Likes,Likes,neutral,Likes,Does not like,type_socializer
1739,Likes,Does not like,Does not like,Likes,neutral,neutral,Does not like,neutral,Does not like,neutral,neutral,Does not like,type_socializer
2314,Likes,neutral,Does not like,neutral,neutral,Likes,neutral,Likes,neutral,Likes,Does not like,Likes,type_socializer
1115,Likes,neutral,neutral,neutral,Does not like,neutral,Does not like,Does not like,Does not like,neutral,Does not like,neutral,type_socializer
326,Does not like,Likes,Likes,Does not like,Does not like,Likes,Does not like,Does not like,Likes,neutral,neutral,Does not like,type_achiever
2121,neutral,Likes,neutral,Likes,Likes,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Does not like,type_socializer
3146,Does not like,Likes,Does not like,Does not like,Likes,Likes,Likes,neutral,neutral,neutral,neutral,Does not like,type_freeSpirit
4207,Likes,neutral,neutral,neutral,Likes,Likes,neutral,Likes,Does not like,Likes,Likes,neutral,type_freeSpirit
40,Does not like,neutral,Does not like,neutral,neutral,neutral,Does not like,Does not like,neutral,Likes,Does not like,Likes,type_achiever
4317,Likes,neutral,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Likes,Likes,Likes,neutral,type_achiever
1963,Does not like,neutral,Does not like,Does not like,neutral,Does not like,neutral,neutral,Does not like,neutral,neutral,Does not like,type_disruptor
863,neutral,Does not like,Likes,Likes,Does not like,neutral,Likes,Does not like,Does not like,Likes,Does not like,neutral,type_philanthropist
2669,neutral,neutral,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Likes,neutral,neutral,type_socializer
1881,Does not like,Likes,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Likes,Does not like,neutral,Likes,type_player
2343,Does not like,neutral,Likes,Likes,Likes,neutral,neutral,neutral,Likes,neutral,neutral,Likes,type_philanthropist
4772,Does not like,neutral,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,type_achiever
1178,Does not like,Does not like,Does not like,Likes,neutral,neutral,Does not like,Does not like,Does not like,neutral,neutral,Does not like,type_philanthropist
2153,Likes,Does not like,neutral,Likes,neutral,neutral,neutral,Likes,Likes,Likes,neutral,neutral,type_achiever
347,Does not like,Likes,Does not like,Does not like,neutral,neutral,neutral,Likes,neutral,Does not like,Likes,Likes,type_player
3553,neutral,Likes,neutral,Likes,neutral,Does not like,neutral,neutral,Likes,Likes,Does not like,Likes,type_achiever
466,Likes,Does not like,Likes,Likes,Likes,Likes,Does not like,Likes,neutral,Likes,Does not like,neutral,type_philanthropist
2691,Does not like,neutral,neutral,neutral,Does not like,Likes,neutral,Does not like,Does not like,Likes,Does not like,neutral,type_achiever
4156,Likes,Does not like,neutral,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,Does not like,neutral,type_socializer
2497,Does not like,Does not like,Likes,Does not like,neutral,neutral,Likes,neutral,neutral,Likes,neutral,Likes,type_achiever
3418,Likes,Does not like,neutral,Does not like,Likes,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Likes,type_freeSpirit
